Torneo;Fase y Grupo;Fecha;Estadio/Ciudad;Local;Goles L;Visita;Goles V;Observaciones;Resultado
Alemania Occidental 1974;Primera, Grupo C;19 de junio de 1974;Westfalenstadion, Dortmund;Pa°ses Bajos;0;Suecia;0;PT 0 a 0.;Empate
Alemania Occidental 1974;Primera, Grupo D;19 de junio de 1974;Neckarstadion, Stuttgart;Argentina;1;Italia;1;PT 1 a 1.;Empate
Alemania Occidental 1974;Primera, Grupo D;19 de junio de 1974;Olympiastadion, Munich;Hait°;0;Polonia;7;PT 0 a 5.;Visita
Alemania Occidental 1974;Primera, Grupo A;22 de junio de 1974;Olympiastadion, Berl°n;Australia;0;Chile;0;PT 0 a 0.;Empate
Alemania Occidental 1974;Primera, Grupo A;22 de junio de 1974;Volksparkstadion, Hamburgo;Alemania Oriental;1;Alemania Occidental;0;PT 0 a 0.;Local
Alemania Occidental 1974;Primera, Grupo B;22 de junio de 1974;Waldstadion, Frankfurt;Escocia;1;Yugoslavia;1;PT 0 a 0.;Empate
Alemania Occidental 1974;Primera, Grupo B;22 de junio de 1974;Waldstadion, Frankfurt;Zaire;0;Brasil;3;PT 0 a 1.;Visita
Alemania Occidental 1974;Primera, Grupo C;23 de junio de 1974;Westfalenstadion, Dortmund;Bulgaria;1;Pa°ses Bajos;4;PT 0 a 2.;Visita
Alemania Occidental 1974;Primera, Grupo C;23 de junio de 1974;Rheinstadion, Dusseldorf;Suecia;3;Uruguay;0;PT 0 a 0.;Local
Alemania Occidental 1974;Primera, Grupo D;23 de junio de 1974;Olympiastadion, Munich;Argentina;4;Hait°;1;PT 2 a 0.;Local
Alemania Occidental 1974;Primera, Grupo D;23 de junio de 1974;Neckarstadion, Stuttgart;Polonia;2;Italia;1;PT 2 a 0.;Local
Alemania Occidental 1974;Segunda, Grupo 1;26 de junio de 1974;Parkstadion, Genselkirchen;Pa°ses Bajos;4;Argentina;0;PT 2 a 0.;Local
Alemania Occidental 1974;Segunda, Grupo 1;26 de junio de 1974;Niedersachsenstadion, Hanover;Brasil;1;Alemania Oriental;0;PT 0 a 0.;Local
Alemania Occidental 1974;Segunda, Grupo 2;26 de junio de 1974;Rheinstadion, Dusseldorf;Yugoslavia;0;Alemania Occidental;2;PT 0 a 1.;Visita
Alemania Occidental 1974;Segunda, Grupo 2;26 de junio de 1974;Neckarstadion, Stuttgart;Suecia;0;Polonia;1;PT 0 a 1.;Visita
Alemania Occidental 1974;Segunda, Grupo 1;30 de junio de 1974;Niedersachsenstadion, Hanover;Argentina;1;Brasil;2;PT 1 a 1.;Visita
Alemania Occidental 1974;Segunda, Grupo 1;30 de junio de 1974;Parkstadion, Genselkirchen;Alemania Oriental;0;Pa°ses Bajos;2;PT 0 a 1.;Visita
Alemania Occidental 1974;Segunda, Grupo 2;30 de junio de 1974;Waldstadion, Frankfurt;Polonia;2;Yugoslavia;1;PT 1 a 1.;Local
Alemania Occidental 1974;Segunda, Grupo 2;30 de junio de 1974;Rheinstadion, Dusseldorf;Alemania Occidental;4;Suecia;2;PT 0 a 1.;Local
Alemania Occidental 1974;Segunda, Grupo 1;3 de julio de 1974;Parkstadion, Genselkirchen;Argentina;1;Alemania Oriental;1;PT 1 a 1.;Empate
Alemania Occidental 1974;Segunda, Grupo 1;3 de julio de 1974;Westfalenstadion, Dortmund;Pa°ses Bajos;2;Brasil;0;PT 0 a 0.;Local
Alemania Occidental 1974;Segunda, Grupo 2;3 de julio de 1974;Waldstadion, Frankfurt;Polonia;0;Alemania Occidental;1;PT 0 a 0.;Visita
Alemania Occidental 1974;Segunda, Grupo 2;3 de julio de 1974;Rheinstadion, Dusseldorf;Suecia;2;Yugoslavia;1;PT 1 a 1.;Local
Alemania Occidental 1974;Tercer y Cuarto Puesto;6 de julio de 1974;Olympiastadion, Munich;Brasil;0;Polonia;1;PT 0 a 0.;Visita
Alemania Occidental 1974;Final;7 de julio de 1974;Olympiastadion, Munich;Pa°ses Bajos;1;Alemania Occidental;2;PT 1 a 2.;Visita
Argentina 1978;Primera, Grupo B;1 de junio de 1978;River Plate, Buenos Aires;Alemania Occidental;0;Polonia;0;PT 0 a 0.;Empate
Argentina 1978;Primera, Grupo A;2 de junio de 1978;Mar del Plata, Mar del Plata;Italia;2;Francia;1;PT 1 a 1.;Local
Argentina 1978;Primera, Grupo A;2 de junio de 1978;River Plate, Buenos Aires;Argentina;2;Hungr°a;1;PT 1 a 1.;Local
Argentina 1978;Primera, Grupo B;2 de junio de 1978;Nuevo Rosario, Rosario;T£nez;3;MÇxico;1;PT 0 a 1.;Local
Argentina 1978;Primera, Grupo C;3 de junio de 1978;JosÇ Amalfitani, Buenos Aires;Austria;2;Espa§a;1;PT 1 a 1.;Local
Argentina 1978;Primera, Grupo C;3 de junio de 1978;Mar del Plata, Mar del Plata;Suecia;1;Brasil;1;PT 1 a 1.;Empate
Argentina 1978;Primera, Grupo D;3 de junio de 1978;Chateau Carrera, C¢rdoba;Per£;3;Escocia;1;PT 1 a 1.;Local
Argentina 1978;Primera, Grupo D;3 de junio de 1978;Mendoza, Mendoza;Pa°ses Bajos;3;Ir†n;0;PT 1 a 0.;Local
Argentina 1978;Primera, Grupo A;6 de junio de 1978;Mar del Plata, Mar del Plata;Italia;3;Hungr°a;1;PT 2 a 0.;Local
Argentina 1978;Primera, Grupo A;6 de junio de 1978;River Plate, Buenos Aires;Argentina;2;Francia;1;PT 1 a 0.;Local
Argentina 1978;Primera, Grupo B;6 de junio de 1978;Chateau Carrera, C¢rdoba;Alemania Occidental;6;MÇxico;0;PT 4 a 0.;Local
Argentina 1978;Primera, Grupo B;6 de junio de 1978;Nuevo Rosario, Rosario;Polonia;1;T£nez;0;PT 1 a 0.;Local
Argentina 1978;Primera, Grupo C;7 de junio de 1978;JosÇ Amalfitani, Buenos Aires;Austria;1;Suecia;0;PT 1 a 0.;Local
Argentina 1978;Primera, Grupo C;7 de junio de 1978;Mar del Plata, Mar del Plata;Brasil;0;Espa§a;0;PT 0 a 0.;Empate
Argentina 1978;Primera, Grupo D;7 de junio de 1978;Chateau Carrera, C¢rdoba;Escocia;1;Ir†n;1;PT 1 a 0.;Empate
Argentina 1978;Primera, Grupo D;7 de junio de 1978;Mendoza, Mendoza;Per£;0;Pa°ses Bajos;0;PT 0 a 0.;Empate
Argentina 1978;Primera, Grupo A;10 de junio de 1978;Mar del Plata, Mar del Plata;Francia;3;Hungr°a;1;PT 3 a 1.;Local
Argentina 1978;Primera, Grupo A;10 de junio de 1978;River Plate, Buenos Aires;Italia;1;Argentina;0;PT 0 a 0.;Local
Argentina 1978;Primera, Grupo B;10 de junio de 1978;Chateau Carrera, C¢rdoba;Alemania Occidental;0;T£nez;0;PT 0 a 0.;Empate
Argentina 1978;Primera, Grupo B;10 de junio de 1978;Nuevo Rosario, Rosario;Polonia;3;MÇxico;1;PT 1 a 0.;Local
Argentina 1978;Primera, Grupo C;11 de junio de 1978;JosÇ Amalfitani, Buenos Aires;Espa§a;1;Suecia;0;PT 0 a 0.;Local
Argentina 1978;Primera, Grupo C;11 de junio de 1978;Mar del Plata, Mar del Plata;Brasil;1;Austria;0;PT 1 a 0.;Local
Argentina 1978;Primera, Grupo D;11 de junio de 1978;Chateau Carrera, C¢rdoba;Per£;4;Ir†n;1;PT 3 a 1.;Local
Argentina 1978;Primera, Grupo D;11 de junio de 1978;Mendoza, Mendoza;Escocia;3;Pa°ses Bajos;2;PT 1 a 1.;Local
Argentina 1978;Segunda, Grupo 1;14 de junio de 1978;Chateau Carrera, C¢rdoba;Pa°ses Bajos;5;Austria;1;PT 3 a 0.;Local
Argentina 1978;Segunda, Grupo 1;14 de junio de 1978;River Plate, Buenos Aires;Alemania Occidental;0;Italia;0;PT 0 a 0.;Empate
Argentina 1978;Segunda, Grupo 2;14 de junio de 1978;Mendoza, Mendoza;Brasil;3;Per£;0;PT 2 a 0.;Local
Argentina 1978;Segunda, Grupo 2;14 de junio de 1978;Nuevo Rosario, Rosario;Argentina;2;Polonia;0;PT 1 a 0.;Local
Argentina 1978;Segunda, Grupo 1;18 de junio de 1978;Chateau Carrera, C¢rdoba;Alemania Occidental;2;Pa°ses Bajos;2;PT 1 a 1.;Empate
Argentina 1978;Segunda, Grupo 1;18 de junio de 1978;River Plate, Buenos Aires;Italia;1;Austria;0;PT 1 a 0.;Local
Argentina 1978;Segunda, Grupo 2;18 de junio de 1978;Mendoza, Mendoza;Polonia;1;Per£;0;PT 0 a 0.;Local
Argentina 1978;Segunda, Grupo 2;18 de junio de 1978;Nuevo Rosario, Rosario;Argentina;0;Brasil;0;PT 0 a 0.;Empate
Argentina 1978;Segunda, Grupo 1;21 de junio de 1978;Chateau Carrera, C¢rdoba;Austria;3;Alemania Occidental;2;PT 0 a 1.;Local
Argentina 1978;Segunda, Grupo 1;21 de junio de 1978;River Plate, Buenos Aires;Pa°ses Bajos;2;Italia;1;PT 0 a 1.;Local
Argentina 1978;Segunda, Grupo 2;21 de junio de 1978;Mendoza, Mendoza;Brasil;3;Polonia;1;PT 1 a 1.;Local
Argentina 1978;Segunda, Grupo 2;21 de junio de 1978;Nuevo Rosario, Rosario;Argentina;6;Per£;0;PT 2 a 0.;Local
Argentina 1978;Tercer y Cuarto Puesto;24 de junio de 1978;River Plate, Buenos Aires;Brasil;2;Italia;1;PT 0 a 1.;Local
Argentina 1978;Final;25 de junio de 1978;River Plate, Buenos Aires;Argentina;3;Pa°ses Bajos;1;PT 1 a 0, ST 1 a 1. Suplementario;Local
Espa§a 1982;Primera, Grupo C;13 de junio de 1982;Camp Nou, Barcelona;Argentina;0;BÇlgica;1;PT 0 a 0.;Visita
Espa§a 1982;Primera, Grupo A;14 de junio de 1982;Balaidos, Vigo;Italia;0;Polonia;0;PT 0 a 0.;Empate
Espa§a 1982;Primera, Grupo F;14 de junio de 1982;S†nchez Pizjuan, Sevilla;Brasil;2;Uni¢n SoviÇtica;1;PT 0 a 1.;Local
Espa§a 1982;Primera, Grupo A;15 de junio de 1982;Riazor, La Coru§a;Per£;0;Camer£n;0;PT 0 a 0.;Empate
Espa§a 1982;Primera, Grupo C;15 de junio de 1982;Nuevo Estadio, Elche;Hungr°a;10;El Salvador;1;PT 3 a 0.;Local
Espa§a 1982;Primera, Grupo F;15 de junio de 1982;La Rosaleda, M†laga;Escocia;5;Nueva Zelandia;2;PT 3 a 0.;Local
Espa§a 1982;Primera, Grupo B;16 de junio de 1982;El Molin¢n, Gij¢n;Alemania Occidental;1;Argelia;2;PT 0 a 0.;Visita
Espa§a 1982;Primera, Grupo D;16 de junio de 1982;San MamÇs, Bilbao;Inglaterra;3;Francia;1;PT 1 a 1.;Local
Espa§a 1982;Primera, Grupo E;16 de junio de 1982;Luis Casanova, Valencia;Espa§a;1;Honduras;1;PT 0 a 1.;Empate
Espa§a 1982;Primera, Grupo B;17 de junio de 1982;Carlos Tartiere, Oviedo;Chile;0;Austria;1;PT 0 a 1.;Visita
Espa§a 1982;Primera, Grupo D;17 de junio de 1982;JosÇ Zorrilla, Valladolid;Checoslovaquia;1;Kuwait;1;PT 1 a 0.;Empate
Espa§a 1982;Primera, Grupo E;17 de junio de 1982;La Romareda, Zaragoza;Yugoslavia;0;Irlanda del Norte;0;PT 0 a 0.;Empate
Espa§a 1982;Primera, Grupo A;18 de junio de 1982;Balaidos, Vigo;Italia;1;Per£;1;PT 1 a 0.;Empate
Espa§a 1982;Primera, Grupo C;18 de junio de 1982;JosÇ Rico PÇrez, Alicante;Argentina;4;Hungr°a;1;PT 2 a 0.;Local
Espa§a 1982;Primera, Grupo F;18 de junio de 1982;Benito Villamar°n, Sevilla;Brasil;4;Escocia;1;PT 1 a 1.;Local
Espa§a 1982;Primera, Grupo A;19 de junio de 1982;Riazor, La Coru§a;Polonia;0;Camer£n;0;PT 0 a 0.;Empate
Espa§a 1982;Primera, Grupo C;19 de junio de 1982;Nuevo Estadio, Elche;BÇlgica;1;El Salvador;0;PT 1 a 0.;Local
Espa§a 1982;Primera, Grupo F;19 de junio de 1982;La Rosaleda, M†laga;Uni¢n SoviÇtica;3;Nueva Zelandia;0;PT 1 a 0.;Local
Espa§a 1982;Primera, Grupo B;20 de junio de 1982;El Molin¢n, Gij¢n;Alemania Occidental;4;Chile;1;PT 1 a 0.;Local
Espa§a 1982;Primera, Grupo D;20 de junio de 1982;San MamÇs, Bilbao;Inglaterra;2;Checoslovaquia;0;PT 0 a 0.;Local
Espa§a 1982;Primera, Grupo E;20 de junio de 1982;Luis Casanova, Valencia;Espa§a;2;Yugoslavia;1;PT 1 a 1.;Local
Espa§a 1982;Primera, Grupo B;21 de junio de 1982;Carlos Tartiere, Oviedo;Argelia;0;Austria;2;PT 0 a 0.;Visita
Espa§a 1982;Primera, Grupo D;21 de junio de 1982;JosÇ Zorrilla, Valladolid;Francia;4;Kuwait;1;PT 2 a 0.;Local
Espa§a 1982;Primera, Grupo E;21 de junio de 1982;La Romareda, Zaragoza;Honduras;1;Irlanda del Norte;1;PT 0 a 1.;Empate
Espa§a 1982;Primera, Grupo A;22 de junio de 1982;Riazor, La Coru§a;Polonia;5;Per£;1;PT 0 a 0.;Local
Espa§a 1982;Primera, Grupo C;22 de junio de 1982;Nuevo Estadio, Elche;BÇlgica;1;Hungr°a;1;PT 0 a 1.;Empate
Espa§a 1982;Primera, Grupo F;22 de junio de 1982;La Rosaleda, M†laga;Uni¢n SoviÇtica;2;Escocia;2;PT 0 a 1.;Empate
Espa§a 1982;Primera, Grupo A;23 de junio de 1982;Balaidos, Vigo;Italia;1;Camer£n;1;PT 0 a 0.;Empate
Espa§a 1982;Primera, Grupo C;23 de junio de 1982;JosÇ Rico PÇrez, Alicante;Argentina;2;El Salvador;0;PT 1 a 0.;Local
Espa§a 1982;Primera, Grupo F;23 de junio de 1982;Benito Villamar°n, Sevilla;Brasil;4;Nueva Zelandia;0;PT 2 a 0.;Local
Espa§a 1982;Primera, Grupo B;24 de junio de 1982;Carlos Tartiere, Oviedo;Argelia;3;Chile;2;PT 3 a 0.;Local
Espa§a 1982;Primera, Grupo D;24 de junio de 1982;JosÇ Zorrilla, Valladolid;Francia;1;Checoslovaquia;1;PT 0 a 0.;Empate
Espa§a 1982;Primera, Grupo E;24 de junio de 1982;La Romareda, Zaragoza;Honduras;0;Yugoslavia;1;PT 0 a 0.;Visita
Espa§a 1982;Primera, Grupo B;25 de junio de 1982;El Molin¢n, Gij¢n;Alemania Occidental;1;Austria;0;PT 1 a 0.;Local
Espa§a 1982;Primera, Grupo D;25 de junio de 1982;San MamÇs, Bilbao;Inglaterra;1;Kuwait;0;PT 1 a 0.;Local
Espa§a 1982;Primera, Grupo E;25 de junio de 1982;Luis Casanova, Valencia;Irlanda del Norte;1;Espa§a;0;PT 0 a 0.;Local
Espa§a 1982;Segunda, Grupo 1;28 de junio de 1982;Camp Nou, Barcelona;Polonia;3;BÇlgica;0;PT 2 a 0.;Local
Espa§a 1982;Segunda, Grupo 4;28 de junio de 1982;Vicente Calder¢n, Madrid;Austria;0;Francia;1;PT 0 a 1.;Visita
Espa§a 1982;Segunda, Grupo 2;29 de junio de 1982;Santiago Bernabeu, Madrid;Alemania Occidental;0;Inglaterra;0;PT 0 a 0.;Empate
Espa§a 1982;Segunda, Grupo 3;29 de junio de 1982;Sarria, Barcelona;Italia;2;Argentina;1;PT 0 a 0.;Local
Espa§a 1982;Segunda, Grupo 1;1 de julio de 1982;Camp Nou, Barcelona;BÇlgica;0;Uni¢n SoviÇtica;1;PT 0 a 0.;Visita
Espa§a 1982;Segunda, Grupo 4;1 de julio de 1982;Vicente Calder¢n, Madrid;Austria;2;Irlanda del Norte;2;PT 0 a 1.;Empate
Espa§a 1982;Segunda, Grupo 2;2 de julio de 1982;Santiago Bernabeu, Madrid;Alemania Occidental;2;Espa§a;1;PT 0 a 0.;Local
Espa§a 1982;Segunda, Grupo 3;2 de julio de 1982;Sarria, Barcelona;Argentina;1;Brasil;3;PT 0 a 1.;Visita
Espa§a 1982;Segunda, Grupo 1;4 de julio de 1982;Camp Nou, Barcelona;Polonia;0;Uni¢n SoviÇtica;0;PT 0 a 0.;Empate
Espa§a 1982;Segunda, Grupo 4;4 de julio de 1982;Vicente Calder¢n, Madrid;Francia;4;Irlanda del Norte;1;PT 1 a 0.;Local
Espa§a 1982;Segunda, Grupo 2;5 de julio de 1982;Santiago Bernabeu, Madrid;Espa§a;0;Inglaterra;0;PT 0 a 0.;Empate
Espa§a 1982;Segunda, Grupo 3;5 de julio de 1982;Sarria, Barcelona;Italia;3;Brasil;2;PT 2 a 1.;Local
Espa§a 1982;Semifinal 1;8 de julio de 1982;Camp Nou, Barcelona;Polonia;0;Italia;2;PT 0 a 1.;Visita
Espa§a 1982;Semifinal 2;8 de julio de 1982;S†nchez Pizjuan, Sevilla;Alemania Occidental;8;Francia;7;PT 1 a 1, ST 1 a 1, Suplementario 3 a 3. Penales (5 a 4).;Local
Espa§a 1982;Tercer y Cuarto Puesto;10 de julio de 1982;JosÇ Rico PÇrez, Alicante;Polonia;3;Francia;2;PT 2 a 1.;Local
Espa§a 1982;Finales;11 de julio de 1982;Santiago Bernabeu, Madrid;Italia;3;Alemania Occidental;1;PT 0 a 0.;Local
MÇxico 1986;Primera, Grupo A;31 de mayo de 1986;Azteca, MÇxico;Bulgaria;1;Italia;1;PT 0 a 1.;Empate
MÇxico 1986;Primera, Grupo C;1 de junio de 1986;Nou Camp, Le¢n;Canad†;0;Francia;1;PT 0 a 0.;Visita
MÇxico 1986;Primera, Grupo D;1 de junio de 1986;Jalisco, Guadalajara;Espa§a;0;Brasil;1;PT 0 a 0.;Visita
MÇxico 1986;Primera, Grupo A;2 de junio de 1986;Ol°mpico, MÇxico;Argentina;3;Corea del Sur;1;PT 2 a 0.;Local
MÇxico 1986;Primera, Grupo C;2 de junio de 1986;Irapuato, Irapuato;Uni¢n SoviÇtica;6;Hungr°a;0;PT 3 a 0.;Local
MÇxico 1986;Primera, Grupo F;2 de junio de 1986;Universitario, Monterrey;Marruecos;0;Polonia;0;PT 0 a 0.;Empate
MÇxico 1986;Primera, Grupo B;3 de junio de 1986;Azteca, MÇxico;BÇlgica;1;MÇxico;2;PT 1 a 2.;Visita
MÇxico 1986;Primera, Grupo D;3 de junio de 1986;Tres de Marzo, Guadalajara;Argelia;1;Irlanda del Norte;1;PT 0 a 1.;Empate
MÇxico 1986;Primera, Grupo F;3 de junio de 1986;Tecnol¢gico, Monterrey;Portugal;1;Inglaterra;0;PT 0 a 0.;Local
MÇxico 1986;Primera, Grupo B;4 de junio de 1986;Bombonera, Toluca;Paraguay;1;Iraq;0;PT 1 a 0.;Local
MÇxico 1986;Primera, Grupo E;4 de junio de 1986;La Corregidora, QuerÇtaro;Uruguay;1;Alemania Occidental;1;PT 1 a 0.;Empate
MÇxico 1986;Primera, Grupo E;4 de junio de 1986;Neza, Nezahualcoyotl;Escocia;0;Dinamarca;1;PT 0 a 0.;Visita
MÇxico 1986;Primera, Grupo A;5 de junio de 1986;Cuauhtemoc, Puebla;Italia;1;Argentina;1;PT 1 a 1.;Empate
MÇxico 1986;Primera, Grupo A;5 de junio de 1986;Ol°mpico, MÇxico;Corea del Sur;1;Bulgaria;1;PT 0 a 1.;Empate
MÇxico 1986;Primera, Grupo C;5 de junio de 1986;Nou Camp, Le¢n;Francia;1;Uni¢n SoviÇtica;1;PT 0 a 0.;Empate
MÇxico 1986;Primera, Grupo C;6 de junio de 1986;Irapuato, Irapuato;Hungr°a;2;Canad†;0;PT 1 a 0.;Local
MÇxico 1986;Primera, Grupo D;6 de junio de 1986;Jalisco, Guadalajara;Brasil;1;Argelia;0;PT 0 a 0.;Local
MÇxico 1986;Primera, Grupo F;6 de junio de 1986;Tecnol¢gico, Monterrey;Inglaterra;0;Marruecos;0;PT 0 a 0.;Empate
MÇxico 1986;Primera, Grupo B;7 de junio de 1986;Azteca, MÇxico;MÇxico;1;Paraguay;1;PT 1 a 0.;Empate
MÇxico 1986;Primera, Grupo D;7 de junio de 1986;Tres de Marzo, Guadalajara;Irlanda del Norte;1;Espa§a;2;PT 0 a 2.;Visita
MÇxico 1986;Primera, Grupo F;7 de junio de 1986;Universitario, Monterrey;Polonia;1;Portugal;0;PT 0 a 0.;Local
MÇxico 1986;Primera, Grupo B;8 de junio de 1986;Bombonera, Toluca;Iraq;1;BÇlgica;2;PT 0 a 2.;Visita
MÇxico 1986;Primera, Grupo E;8 de junio de 1986;La Corregidora, QuerÇtaro;Alemania Occidental;2;Escocia;1;PT 1 a 1.;Local
MÇxico 1986;Primera, Grupo E;8 de junio de 1986;Neza, Nezahualcoyotl;Dinamarca;6;Uruguay;1;PT 2 a 1.;Local
MÇxico 1986;Primera, Grupo C;9 de junio de 1986;Nou Camp, Le¢n;Hungr°a;0;Francia;3;PT 0 a 1.;Visita
MÇxico 1986;Primera, Grupo C;9 de junio de 1986;Irapuato, Irapuato;Uni¢n SoviÇtica;2;Canad†;0;PT 0 a 0.;Local
MÇxico 1986;Primera, Grupo A;10 de junio de 1986;Cuauhtemoc, Puebla;Corea del Sur;2;Italia;3;PT 0 a 1.;Visita
MÇxico 1986;Primera, Grupo A;10 de junio de 1986;Ol°mpico, MÇxico;Argentina;2;Bulgaria;0;PT 1 a 0.;Local
MÇxico 1986;Primera, Grupo B;11 de junio de 1986;Bombonera, Toluca;Paraguay;2;BÇlgica;2;PT 0 a 1.;Empate
MÇxico 1986;Primera, Grupo B;11 de junio de 1986;Azteca, MÇxico;Iraq;0;MÇxico;1;PT 0 a 0.;Visita
MÇxico 1986;Primera, Grupo F;11 de junio de 1986;Tecnol¢gico, Monterrey;Inglaterra;3;Polonia;0;PT 3 a 0.;Local
MÇxico 1986;Primera, Grupo F;11 de junio de 1986;Jalisco, Guadalajara;Portugal;1;Marruecos;3;PT 0 a 2.;Visita
MÇxico 1986;Primera, Grupo D;12 de junio de 1986;Jalisco, Guadalajara;Irlanda del Norte;0;Brasil;3;PT 0 a 2.;Visita
MÇxico 1986;Primera, Grupo D;12 de junio de 1986;Tecnol¢gico, Monterrey;Argelia;0;Espa§a;3;PT 0 a 1.;Visita
MÇxico 1986;Primera, Grupo E;13 de junio de 1986;La Corregidora, QuerÇtaro;Dinamarca;2;Alemania Occidental;0;PT 1 a 0.;Local
MÇxico 1986;Primera, Grupo E;13 de junio de 1986;Neza, Nezahualcoyotl;Escocia;0;Uruguay;0;PT 0 a 0.;Empate
MÇxico 1986;Octavos de Final, partido 1;15 de junio de 1986;Azteca, MÇxico;MÇxico;2;Bulgaria;0;PT 1 a 0.;Local
MÇxico 1986;Octavos de Final, partido 2;15 de junio de 1986;Nou Camp, Le¢n;Uni¢n SoviÇtica;3;BÇlgica;4;PT 1 a 0, ST 2 a 2. Suplementario.;Visita
MÇxico 1986;Octavos de Final, partido 3;16 de junio de 1986;Jalisco, Guadalajara;Brasil;4;Polonia;0;PT 1 a 0.;Local
MÇxico 1986;Octavos de Final, partido 4;16 de junio de 1986;Cuauhtemoc, Puebla;Argentina;1;Uruguay;0;PT 1 a 0.;Local
MÇxico 1986;Octavos de Final, partido 5;17 de junio de 1986;Ol°mpico, MÇxico;Italia;0;Francia;2;PT 0 a 1.;Visita
MÇxico 1986;Octavos de Final, partido 6;17 de junio de 1986;Universitario, Monterrey;Marruecos;0;Alemania Occidental;1;PT 0 a 0.;Visita
MÇxico 1986;Octavos de Final, partido 7;18 de junio de 1986;Azteca, MÇxico;Inglaterra;3;Paraguay;0;PT 1 a 0.;Local
MÇxico 1986;Octavos de Final, partido 8;18 de junio de 1986;La Corregidora, QuerÇtaro;Dinamarca;1;Espa§a;5;PT 1 a 1.;Visita
MÇxico 1986;Cuartos de Final, partido 1;21 de junio de 1986;Jalisco, Guadalajara;Brasil;4;Francia;5;PT 1 a 1, ST 1 a 1, Suplementario 1 a 1. Penales (3 a 4).;Visita
MÇxico 1986;Cuartos de Final, partido 2;21 de junio de 1986;Universitario, Monterrey;Alemania Occidental;4;MÇxico;1;PT 0 a 0, ST 0 a 0, Suplementario 0 a 0. Penales (4 a 1).;Local
MÇxico 1986;Cuartos de Final, partido 3;22 de junio de 1986;Azteca, MÇxico;Argentina;2;Inglaterra;1;PT 0 a 0.;Local
MÇxico 1986;Cuartos de Final, partido 4;22 de junio de 1986;Cuauhtemoc, Puebla;Espa§a;5;BÇlgica;6;PT 0 a 1, ST 1 a 1, Suplementario 1 a 1. Penales (4 a 5).;Visita
MÇxico 1986;Semifinal 1;25 de junio de 1986;Jalisco, Guadalajara;Francia;0;Alemania Occidental;2;PT 0 a 1.;Visita
MÇxico 1986;Semifinal 2;25 de junio de 1986;Azteca, MÇxico;Argentina;2;BÇlgica;0;PT 0 a 0.;Local
MÇxico 1986;Tercer y Cuarto Puesto;28 de junio de 1986;Cuauhtemoc, Puebla;Francia;4;BÇlgica;2;PT 2 a 1, ST 2 a 2. Suplementario.;Local
MÇxico 1986;Finales;29 de junio de 1986;Azteca, MÇxico;Argentina;3;Alemania Occidental;2;PT 1 a 0.;Local
Italia 1990;Primera, Grupo B;8 de junio de 1990;Giuseppe Meazza, Mil†n;Argentina;0;Camer£n;1;PT 0 a 0.;Visita
Italia 1990;Primera, Grupo A;9 de junio de 1990;Ol°mipico, Roma;Italia;1;Austria;0;PT 0 a 0.;Local
Italia 1990;Primera, Grupo B;9 de junio de 1990;Sant Nicola, Bari;Uni¢n SoviÇtica;0;Rumania;2;PT 0 a 1.;Visita
Italia 1990;Primera, Grupo D;9 de junio de 1990;Renato Dall'Ara, Bologna;Emiratos µrabes Unidos;0;Colombia;2;PT 0 a 0.;Visita
Italia 1990;Primera, Grupo A;10 de junio de 1990;Comunale, Florencia;Estados Unidos;1;Checoslovaquia;5;PT 0 a 2.;Visita
Italia 1990;Primera, Grupo C;10 de junio de 1990;Delle Alpi, Tur°n;Brasil;2;Suecia;1;PT 1 a 0.;Local
Italia 1990;Primera, Grupo D;10 de junio de 1990;Giuseppe Meazza, Mil†n;Alemania Occidental;4;Yugoslavia;1;PT 2 a 0.;Local
Italia 1990;Primera, Grupo C;11 de junio de 1990;Luigi Ferraris, GÇnova;Costa Rica;1;Escocia;0;PT 0 a 0.;Local
Italia 1990;Primera, Grupo F;11 de junio de 1990;Sant'Elia, Cagliari;Inglaterra;1;Irlanda;1;PT 1 a 0.;Empate
Italia 1990;Primera, Grupo E;12 de junio de 1990;Marco Antonio Bentegodi, Verona;BÇlgica;2;Corea del Sur;0;PT 0 a 0.;Local
Italia 1990;Primera, Grupo F;12 de junio de 1990;Della Favorita, Palermo;Pa°ses Bajos;1;Egipto;1;PT 0 a 0.;Empate
Italia 1990;Primera, Grupo B;13 de junio de 1990;San Paolo, N†poles;Argentina;2;Uni¢n SoviÇtica;0;PT 1 a 0.;Local
Italia 1990;Primera, Grupo E;13 de junio de 1990;Friuli, Udine;Uruguay;0;Espa§a;0;PT 0 a 0.;Empate
Italia 1990;Primera, Grupo A;14 de junio de 1990;Ol°mipico, Roma;Italia;1;Estados Unidos;0;PT 1 a 0.;Local
Italia 1990;Primera, Grupo B;14 de junio de 1990;Sant Nicola, Bari;Camer£n;2;Rumania;1;PT 0 a 0.;Local
Italia 1990;Primera, Grupo D;14 de junio de 1990;Renato Dall'Ara, Bologna;Yugoslavia;1;Colombia;0;PT 0 a 0.;Local
Italia 1990;Primera, Grupo A;15 de junio de 1990;Comunale, Florencia;Austria;0;Checoslovaquia;1;PT 0 a 1.;Visita
Italia 1990;Primera, Grupo D;15 de junio de 1990;Giuseppe Meazza, Mil†n;Alemania Occidental;5;Emiratos µrabes Unidos;1;PT 2 a 0.;Local
Italia 1990;Primera, Grupo C;16 de junio de 1990;Delle Alpi, Tur°n;Brasil;1;Costa Rica;0;PT 1 a 0.;Local
